b,a,r,",",b,e,e,r,",",p,r,i,c,e
NorthGate Brewing ,Snow Cap,9.18
NorthGate Brewing ,Blind Pig Dunkelweizen,5.48
NorthGate Brewing ,Nightwatch Dark Ale,5.46
NorthGate Brewing ,Islander Pale Ale,5.51
NorthGate Brewing ,Terminator Stout,5.39
NorthGate Brewing ,Oatmeal Stout,9.12
NorthGate Brewing ,SunRye,6.62
NorthGate Brewing ,Pale Ale,7.63
NorthGate Brewing ,Two Frog Dubbel,6.83
NorthGate Brewing ,Zephyrus Pilsner,6.75
Against the Grain Brewery,Perseus Porter,8.32
Against the Grain Brewery,WinterFish Ale,5.97
Against the Grain Brewery,Hefeweizen,6.11
Against the Grain Brewery,Old Bawdy 2006,8.01
Against the Grain Brewery,Organic Amber Ale,9.07
Against the Grain Brewery,Sequoia Red,8.54
Against the Grain Brewery,Sun Fest,8.22
Against the Grain Brewery,The Wise ESB,4.85
Against the Grain Brewery,Atlas Amber Ale,7.84
Against the Grain Brewery,Vashon Old Stock Ale,6.36
Jack's Abby Craft Lagers,Extra Special Bitter,5.72
Jack's Abby Craft Lagers,Amber Ale,8.14
Jack's Abby Craft Lagers,No Doubt Stout,6.18
Jack's Abby Craft Lagers,Jolly Roger,9.14
Jack's Abby Craft Lagers,India Pale Ale,9.35
Jack's Abby Craft Lagers,Driftwood Ale,9.42
Jack's Abby Craft Lagers,Maibock,4.5
Jack's Abby Craft Lagers,Hefeweizen,5.56
Jack's Abby Craft Lagers,Pyramid Hefe Weizen,5.44
Jack's Abby Craft Lagers,Snow Melt Nitrogen Pale,4.51
Mike Hess Brewing Company,Organic Amber Ale,6.79
Mike Hess Brewing Company,Oak Stout,5.04
Mike Hess Brewing Company,Baron Schwarzbier,7.86
Mike Hess Brewing Company,Avatar Jasmine IPA,6.71
Mike Hess Brewing Company,Pyramid Thunderhead IPA,7.51
Mike Hess Brewing Company,India Pale Ale,7.99
Mike Hess Brewing Company,Deep Powder Winter Ale,9.2
Mike Hess Brewing Company,Elysian Fields Pale Ale,8.35
Mike Hess Brewing Company,Grand Cru,7.62
Mike Hess Brewing Company,Blonde Ale,7.21
Fort Point Beer Company,Detonator Doppelbock,8.51
Fort Point Beer Company,Tilted Kilt Ale,6.39
Fort Point Beer Company,Pale Ale,9.36
Fort Point Beer Company,Whoville Weizenbock,7.58
Fort Point Beer Company,Troll Porter,6.41
Fort Point Beer Company,Hefeweizen,6.6
Fort Point Beer Company,Blonde Ale,7.27
Fort Point Beer Company,10 Squared (10Â²),9.24
Fort Point Beer Company,Whoville Weizenbock,9.05
Fort Point Beer Company,Skagit Brown Ale,8.27
COAST Brewing Company,Sun Fest,5.44
COAST Brewing Company,Driftwood Ale,8.39
COAST Brewing Company,Baron Helles Bock,7.82
COAST Brewing Company,Icebreaker Barley Wine,4.63
COAST Brewing Company,Irish Style Ale,4.72
COAST Brewing Company,Pyramid Amber Weizen,4.89
COAST Brewing Company,Amber Ale,9.3
COAST Brewing Company,Mongoose IPA,5.2
COAST Brewing Company,Double Diamond Winter,8.96
COAST Brewing Company,Thunder Head IPA,5.03
Great Divide Brewing Company,Imperial Pale,7.15
Great Divide Brewing Company,Navidad,6.46
Great Divide Brewing Company,Weisse,5.17
Great Divide Brewing Company,Sequoia Red,5.41
Great Divide Brewing Company,Spitfire Best Bitter,8.23
