bar,beer,price
NorthGate Brewing ,Rye,8.54
NorthGate Brewing ,Wee Heavy Winter Ale,4.99
NorthGate Brewing ,Bourbon Barrel Stout,8.59
NorthGate Brewing ,Red Card Lager,5.74
NorthGate Brewing ,Hoptoberfest,6.29
NorthGate Brewing ,Tilted Kilt Ale,6.92
NorthGate Brewing ,Blacktop Porter,8.71
NorthGate Brewing ,Amber Ale,6.34
NorthGate Brewing ,LaConner Pilsener,8.45
NorthGate Brewing ,The Wise ESB,8.89
Against the Grain Brewery,Amber Weizen,5.83
Against the Grain Brewery,Warminster Special Bitter,7.25
Against the Grain Brewery,Barley Wine Ale,7.71
Against the Grain Brewery,Monkfish Tripel,9.29
Against the Grain Brewery,Pilsner,8.97
Against the Grain Brewery,Oak Stout,9.44
Against the Grain Brewery,Heat Seeker Hefe,7.53
Against the Grain Brewery,Puget Brown Porter,9.35
Against the Grain Brewery,Pale Ale,8.28
Against the Grain Brewery,Pale Ale,5.13
Jack's Abby Craft Lagers,Nightwatch Dark Ale,8.56
Jack's Abby Craft Lagers,Mt. Takhoma Blonde Ale,5.57
Jack's Abby Craft Lagers,Deep Powder Winter Ale,4.5
Jack's Abby Craft Lagers,Hefeweizen,4.95
Jack's Abby Craft Lagers,Baron Pilsner,6.44
Jack's Abby Craft Lagers,India Pale Ale,8.73
Jack's Abby Craft Lagers,Poseidon Imperial Stout,6.89
Jack's Abby Craft Lagers,Homeport Blonde,5.86
Jack's Abby Craft Lagers,Dry Hopped IPA,7.48
Jack's Abby Craft Lagers,Prime Time Pale Ale,7.04
Mike Hess Brewing Company,IPA,4.53
Mike Hess Brewing Company,Driftwood Ale,5.33
Mike Hess Brewing Company,Hefe Weizen,9.04
Mike Hess Brewing Company,Navidad,8.64
Mike Hess Brewing Company,Point Defiance IPA,8.37
Mike Hess Brewing Company,Curve Ball,9.39
Mike Hess Brewing Company,Loki,8.25
Mike Hess Brewing Company,ESB,5.14
Mike Hess Brewing Company,Jolly Roger,6.72
Mike Hess Brewing Company,Black Hook Porter,5.6
Fort Point Beer Company,No Doubt Stout,9.49
Fort Point Beer Company,Doppel Bock,4.74
Fort Point Beer Company,Salmon Bay E.S.B.,4.82
Fort Point Beer Company,Alki Ale,6.25
Fort Point Beer Company,Penitentiary Porter,6.65
Fort Point Beer Company,Hefe-Weizen,6.63
Fort Point Beer Company,Salmon Bay E.S.B.,8
Fort Point Beer Company,Coal Creek Porter,8.68
Fort Point Beer Company,Organic India Pale Ale,5.39
Fort Point Beer Company,Warminster Special Bitter,6.63
COAST Brewing Company,India Pale Ale,5.37
COAST Brewing Company,Avatar Jasmine IPA,7.51
COAST Brewing Company,Auld Acquaintance Spiced Ale,8.86
COAST Brewing Company,Homeport Blonde,7.63
COAST Brewing Company,Belgian White,7.01
COAST Brewing Company,Scotch brand Ale,8.04
COAST Brewing Company,Catalina Common Lager,7.22
COAST Brewing Company,Homeport Blonde,8.78
COAST Brewing Company,Navidad,5.55
COAST Brewing Company,Black Hook Porter,6.28
Great Divide Brewing Company,Hart Espresso Stout,8.22
Great Divide Brewing Company,Snow Cap,4.63
Great Divide Brewing Company,Oktoberfest,6.72
Great Divide Brewing Company,Oak Stout,9.02
Great Divide Brewing Company,Icebreaker Barley Wine,7.54
Great Divide Brewing Company,Zephyrus Pilsner,8.28
Great Divide Brewing Company,Pseudo Lambic Framboise,5.06
Great Divide Brewing Company,Pyramid Apricot Weizen,7.94
Great Divide Brewing Company,Spiced Ale,4.98
Great Divide Brewing Company,Humbles Blond Ale,8.58
Tapistry Brewing,Wheat Hook,5.23
Tapistry Brewing,Puget Porter,5.47
Tapistry Brewing,Amber Ale,6.51
Tapistry Brewing,Whoville Weizenbock,8.85
Tapistry Brewing,Blacktop Porter,7.28
Tapistry Brewing,Humbles Blond Ale,7.94
Tapistry Brewing,Amber Weizen,5.79
Tapistry Brewing,Gale Force IPA,7.69
Tapistry Brewing,WinterFish Ale,6.06
Tapistry Brewing,Mt. Takhoma Blonde Ale,8.78
Big Lake Brewing,Pinnacle Peak Pale Ale,6.15
Big Lake Brewing,Bottleworks IPA,4.67
Big Lake Brewing,Barleywine,5.72
Big Lake Brewing,Slam Dunkelweizen,6.5
Big Lake Brewing,Three Threads Porter,6.77
Big Lake Brewing,Two Frog Dubbel,4.62
Big Lake Brewing,Afterburner IPA,8.79
Big Lake Brewing,Oktoberfest,4.94
Big Lake Brewing,India Pale Ale,5.43
Big Lake Brewing,Golden,9.03
The Mitten Brewing Company,Troll Porter,5.04
The Mitten Brewing Company,Clipper Gold Hefeweizen,4.55
The Mitten Brewing Company,Cream Stout,8.12
The Mitten Brewing Company,Golden,9.17
The Mitten Brewing Company,Irish Style Ale,9.14
The Mitten Brewing Company,Pyramid Thunderhead IPA,8.24
The Mitten Brewing Company,India Pale Ale,5.58
The Mitten Brewing Company,Snow Cap,5.85
The Mitten Brewing Company,Wee Heavy Winter Ale,8.77
The Mitten Brewing Company,Lava Rock Porter,8.41
Brewery Vivant,Organic Amber Ale,4.64
Brewery Vivant,Afterburner IPA,4.7
Brewery Vivant,Ambrosia Maibock,6.74
Brewery Vivant,The Wise ESB,9.27
Brewery Vivant,Grand Cru,8.56
Brewery Vivant,Belgian White,5.62
Brewery Vivant,No Doubt Stout,6.54
Brewery Vivant,Bock,7.65
Brewery Vivant,Sun Fest,7.43
Brewery Vivant,Cream Stout,6.19
Petoskey Brewing,Firkin IPA,7.26
Petoskey Brewing,Flagship Red Alt Ale,8.56
Petoskey Brewing,Winterhook Robust Winter Ale 1993,6.6
Petoskey Brewing,Porter,5.87
Petoskey Brewing,10 Squared (10Â²),4.71
Petoskey Brewing,India Pale Ale,8.58
Petoskey Brewing,Old Bawdy 2006,8.69
Petoskey Brewing,Yo Ho Ho Christmas Ale 2001,9.3
Petoskey Brewing,Lighthouse Ale,4.57
Petoskey Brewing,Nut Brown Ale,8.38
Blackrocks Brewery,Wild Salmon Pale Ale,9.12
Blackrocks Brewery,Baron Helles Bock,6.22
Blackrocks Brewery,Pyramid Apricot Weizen,8.69
Blackrocks Brewery,Nut Brown,8.88
Blackrocks Brewery,Fauntleroy Stout,9.11
Blackrocks Brewery,Old Seattle Lager,6.3
Blackrocks Brewery,Three Threads Porter,8.28
Blackrocks Brewery,Driftwood Ale,6.78
Blackrocks Brewery,Snow Cap,4.96
Blackrocks Brewery,Winterhook Robust Winter Ale 1993,9.31
Perrin Brewing Company,Skagit Brown Ale,4.72
